Segmented Element,POS
並非,D
一些,Neqa
小型廠,Nc
所,D
能,D
承受,VJ
。,PERIODCATEGORY
-,DASHCATEGORY
 ,FW
62,Neu
 ,FW
-,DASHCATEGORY
  b,FW
.,PERIODCATEGORY
簡易,Na
回收,VC
裝置,Na
 ,FW
 ,FW
 ,FW
此,Nep
法,Na
為,VG
最,Dfa
簡單,VH
的,DE
現場,Nc
回收,VC
裝置,Na
，,COMMACATEGORY
乃,D
將,P
廢溶劑,Na
收集,VC
後,Ng
，,COMMACATEGORY
在,P
現,A
 場,Nc
以,P
簡易,Na
型,Na
的,DE
溶劑,Na
回收,VC
裝置,Na
（,PARENTHESISCATEGORY
如,P
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
6,Neu
 ,FW
所,D
示,VC
）,PARENTHESISCATEGORY
加溫,VC
簡單,VH
蒸餾,Na
回,VCL
 收,Na
，,COMMACATEGORY
所,D
需,D
設備,VC
投資,VC
少,VH
，,COMMACATEGORY
操作,VC
簡易,Na
，,COMMACATEGORY
回收,VC
之,DE
溶劑,Na
可,D
再,D
使用,VC
，,SHI
目前,Nd
 ,FW
國內,Nc
有,V_2
不少,VH
廠家,Na
使用,VC
，,SHI
但,Cbb
回收,VC
量,Na
限於,VJ
設備,Na
容量,Na
，,SHI
無法,D
大量,Na
操作,VC
，,SHI
 ,FW
在,P
特定,A
狀況,Na
下,Ng
，,COMMACATEGORY
需,D
考慮,VE
防爆,VH
需求,Na
。,PERIODCATEGORY
資料,Na
來源,Na
：,COLONCATEGORY
國內,Nc
廢溶劑,Na
回收,VC
處理,Na
及,Caa
處置,Nv
現況,Na
，,COMMACATEGORY
工程,Na
雙月,Na
刊,VC
第,Neu
 ,FW
74,Neu
 期,Nd
第三,Neu
卷,Nf
，,COMMACATEGORY
p,FW
.,PERIODCATEGORY
32,Neu
~,FW
41,Neu
，,COMMACATEGORY
民國,Nd
 ,FW
90,Neu
 ,FW
年,Nf
 ,FW
4,Neu
 ,FW
 ,FW
月,Na
。,PERIODCATEGORY
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
6,Neu
 ,FW
廢溶劑,Na
簡單,VH
蒸餾,Nv
回收,VC
裝置,VC
 ,FW
 ,FW
 ,FW
 ,FW
 ,FW
 ,FW
C.,FW
萃取,VC
精餾法,Na
 ,FW
 ,FW
 ,FW
含水,VH
之,DE
廢溶劑,Na
常,D
會,D
形成,VG
共沸物,Na
，,SHI
而,Cbb
須,D
藉由,P
加入,VC
新鮮溶劑,Na
，,SHI
利用,VC
 其,Na
與,P
水分,Na
及,Caa
有機,A
成分,Na
間,Ng
之,DE
作用,Na
力不同,VH
，,COMMACATEGORY
而,Cbb
改變,VC
原成分,Na
間,Ng
之,DE
相對,VH
揮發,VC
 度,Na
，,COMMACATEGORY
如此,VH
即可,D
用,P
一般,A
之,DE
精餾,Na
方法,Na
予以,D
分離,VA
。,PERIODCATEGORY
而,Cbb
新鮮,VH
溶劑,Na
之,DE
沸點,Na
又,D
較,P
 ,FW
原有,VJ
之,DE
任一,VG
成分,Na
為,VG
高,VH
，,COMMACATEGORY
將,D
隨底,VH
流離,Na
開,VC
精餾塔,Na
，,COMMACATEGORY
此,Nep
即,D
萃取,VC
精餾,Na
。,PERIODCATEGORY
萃取,VC
 ,FW
 ,FW
 ,FW
 ,FW
-,DASHCATEGORY
 ,FW
63,Neu
 ,FW
-,DASHCATEGORY
 ,FW
 ,FW
精餾,Na
之,DE
主要,A
設備,Na
為,VG
萃取,VC
精餾塔,Na
，,COMMACATEGORY
而,Cbb
為,P
了,Na
在,P
絕大,VH
部分,Neqa
之,DE
塔板,Na
上,Ng
能,D
維持,VJ
 ,FW
較,Dfa
高,VH
溶劑,Na
濃度,Na
，,COMMACATEGORY
新鮮,VH
溶劑,Na
之,DE
加,VC
入口,Na
一定,D
要,D
在,P
進料口,VA
上端,Ncd
，,SHI
但,Cbb
又,D
不,D
能,D
 ,D
從,P
塔頂,Nc
引入,VA
，,SHI
因為,Cbb
其,Nep
加,VC
入口,Nc
以上,Ncd
須,D
還,D
有,V_2
若干塊,Na
塔板,Na
，,SHI
以,P
組成,VG
溶劑,Na
再,D
 ,VC
生段,Na
。,PERIODCATEGORY
新鮮,VH
溶劑,Na
與,Caa
重成分,Na
一起,D
自,P
塔底,Na
引出,VC
後,Ng
，,SHI
送入,VC
溶劑,Na
回收,VC
裝置,Na
。,PERIODCATEGORY
一般,D
此,Nep
裝置,Na
皆,D
使用,VC
蒸餾塔,Na
將,D
重成分,VH
自,P
新鮮,VH
溶劑,Na
中,Ng
蒸出,VA
，,COMMACATEGORY
再,D
重新,D
返回,VCL
 ,FW
萃取,VC
蒸餾塔,Na
使用,VC
。,PERIODCATEGORY
整,Neqa
個,Nf
流程,Na
中,Ng
新鮮,VH
溶劑,Na
係,VG
循環,Na
再生,VH
利用,VH
，,COMMACATEGORY
故,Cbb
損失,VC
不,D
 ,FW
大,VH
，,COMMACATEGORY
只,Da
需,D
添加,VC
少量,Na
補償,VC
即可,VH
。,PERIODCATEGORY
萃取,VC
精餾,Na
裝置,Na
如,P
圖,VC
 ,FW
5.3,Neu
-,DASHCATEGORY
7,Neu
 ,FW
所,D
示,VC
。,PERIODCATEGORY
         ,ORG
資料,Na
來源,Na
：,FW
廢有機溶劑,Na
回收,VC
之,DE
清潔,Na
生產,Nv
－,FW
純化,VH
方法,Na
，,SHI
清潔,Na
生產,VC
雙月刊,Na
，,SHI
第,Nes
 ,FW
25,Neu
 期,Nd
，,PERIODCATEGORY
民國,Nd
 ,FW
88,Neu
 ,FW
年,Nd
 ,FW
 ,FW
8 月,Nd
。,PERIODCATEGORY
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
7,Neu
 ,FW
萃取,VC
精餾,Na
裝置,Na
簡圖,Na
 ,FW
 ,FW
 ,FW
 ,FW
 ,FW
 ,FW
D.,FW
薄膜,Na
(,PARENTHESISCATEGORY
Membrane,FW
),PARENTHESISCATEGORY
分離,Na
法,Na
 ,Na
  ,Na
薄膜,Na
分離,Na
係,VG
指,VG
分子,Na
混合,VC
狀態,Na
之,DE
氣體,Na
或,Caa
液體,Na
，,COMMACATEGORY
經過,VCL
特定,A
薄膜,Na
之,DE
滲,Na
 透,Na
作用,Na
，,COMMACATEGORY
改變,VC
其,Nep
分子,Na
混合物,Na
組成,Nv
，,COMMACATEGORY
從而,Cbb
達到,VJ
使,VL
某,Nes
一,Neu
種,Nf
分子,Na
與,Caa
混合物,Na
 分離之目,VH
的,DE
。,PERIODCATEGORY
其,Nep
作用,Na
機制,Na
是,SHI
由於,Cbb
分子,Na
間,Ng
之,DE
作用,Na
力,VC
而,Cbb
引起,VC
，,SHI
即,D
所謂,VJ
之,DE
 ,Na
驅動力,Na
(,PARENTHESISCATEGORY
Driving Force,FW
),PARENTHESISCATEGORY
，,COMMACATEGORY
來,VC
自於,VJ
薄膜,Na
兩側,Na
化學勢,Na
之,DE
差,VH
，,Na
如,Cbb
壓力差,Na
、,PAUSECATEGORY
 ,Na
電位差,Na
和,Caa
濃度,Na
差等,Na
。,PERIODCATEGORY
在,P
多,Neqa
種,Nf
薄膜,Na
分離法,Na
中,Ng
，,COMMACATEGORY
較,Dfa
可能,D
用於,VC
廢溶劑,Na
回收,VC
 ,FW
之,DE
操作,Nv
方法,Na
，,COMMACATEGORY
當,P
屬,VG
滲透,VJ
蒸發,Nv
及,Caa
擴散,VH
透析,VC
兩種,Na
。,PERIODCATEGORY
以下,Ncd
即,D
其,Nep
概要,Na
說明,VH
：,COLONCATEGORY
 ,FW
 ,FW
 ,FW
補充,VC
 ,FW
 ,FW
溶劑,Na
 ,FW
 ,FW
 ,FW
新鮮,A
 ,FW
料,VC
液,Na
 ,FW
 ,FW
 ,FW
萃 ,Na
取,VC
 ,FW
精,VC
 ,FW
餾 ,Na
塔,Na
 ,FW
 ,FW
 ,FW
溶,VC
 劑,Na
 ,FW
回,VC
 ,FW
收,VC
 ,VC
塔,Na
 ,FW
 ,FW
輕,VH
組分,VC
 ,FW
重,VH
組分,VC
 ,FW
 ,FW
 ,FW
循環,Na
溶劑,Na
 ,FW
 ,FW
 ,FW
 ,FW
-,DASHCATEGORY
 ,FW
64,Neu
 ,FW
-,FW
  ,Na
a.,FW
滲透,Na
蒸發,VC
 ,FW
 ,FW
 ,FW
滲透,VC
蒸發,Nv
是,SHI
液體,Na
混合物,Na
在膜,Na
的,DE
一側,Ncd
與,Caa
膜,Na
接觸,Na
，,PERIODCATEGORY
其,Cbb
較,Dfa
容易,VH
滲,VC
 透,Na
成分,VH
溶解,Na
在,P
膜,Na
上,Ncd
並,D
擴散,VH
通過,VCL
薄膜,Na
，,PERIODCATEGORY
在,P
膜,Na
的,DE
另,Nes
一,Neu
側,Ncd
氣化,Na
，,PERIODCATEGORY
而,Cbb
達,VJ
 ,FW
到,P
分離,Na
（,PARENTHESISCATEGORY
其,Nep
原理,Na
如,P
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
8,Neu
 ,FW
所,D
示,VC
）,PARENTHESISCATEGORY
。,PERIODCATEGORY
基於,P
省,FW
能源,Na
及,Caa
設備,Na
簡單,VH
之,DE
特,VH
 ,FW
點,Na
，,COMMACATEGORY
滲透,VJ
蒸發,VC
程序,Na
在,P
分離,Na
共,Da
沸物,Na
、,PAUSECATEGORY
熱,VH
敏感,VH
混合物,Na
和,Caa
沸點,Na
相近,VH
溶,VC
 ,FW
液,Na
方面,Na
被,P
廣泛,VH
應用,Na
。,PERIODCATEGORY
其,Nep
分離,Na
程序,Na
主要,D
分成,VG
三,Neu
步驟,Na
，,COMMACATEGORY
包括,VK
某,Nes
一,Neu
成,Nf
 分,Na
溶解,Na
而,Cbb
進入,VCL
薄膜,Na
中,Ng
；,PERIODCATEGORY
於,P
薄膜,Na
中,Ng
傳送,VC
；,PERIODCATEGORY
在,P
薄膜,Na
之下,Ng
游,Na
界面,Ncd
揮發,VA
，,SHI
 ,FW
同時,Nd
被,P
帶離,Na
薄膜,Na
。,PERIODCATEGORY
其,Nep
優點,Na
為,VG
：,FW
 ,Na
 ,Na
 ,Na
■,FW
操作,VC
簡單,VH
，,SHI
且,Cbb
節,VJ
省,Na
能源,Na
，,SHI
又,D
不,D
占,VJ
空間,Na
。,PERIODCATEGORY
 ,FW
 ,Na
 ,Na
■,FW
易於,VJ
分離,Na
共,Da
沸物,Na
，,COMMACATEGORY
可,D
應用,VC
於,P
多,Neqa
成分,Na
含水,VH
混合物,Na
之,DE
分離,Na
。,PERIODCATEGORY
 ,FW
 ,FW
 ,Na
■,FW
可,D
處理,VA
多重,A
廢溶劑,Na
，,COMMACATEGORY
且,Cbb
不致,D
造成,VG
二,Neu
次,Nf
污染,Nv
問題,Na
。,PERIODCATEGORY
目前,Nd
國外,Nc
經,P
 ,FW
由,P
滲透,VC
蒸發,Nv
技術,Na
分離,VA
或,Caa
純化,VHC
之,DE
產物,Na
參表,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
3,Neu
。,PERIODCATEGORY
         ,PER
資料,Na
來源,Na
：,COLONCATEGORY
田民波,PER
，,COMMACATEGORY
劉德全,PER
，,COMMACATEGORY
薄膜,Na
科學,Na
與,Caa
技術,Na
手冊,Na
，,COMMACATEGORY
機械,Na
工業,Na
，,COMMACATEGORY
1991,Neu
 ,FW
年,Nf
。,PERIODCATEGORY
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
8,Neu
 ,FW
滲透,VC
蒸發,Nv
分離,Na
原理,Na
 ,FW
 膜,Na
 ,FW
 ,FW
下游,Na
 ,FW
 ,FW
擴散,VC
 ,FW
 ,FW
 ,FW
冷,FW
凝,VC
 ,FW
 ,FW
 ,FW
溶解,VC
 ,FW
 ,FW
 ,FW
蒸發,VC
 ,FW
 ,FW
 ,FW
蒸氣,Na
 ,FW
 ,FW
上游,Nc
 ,FW
 ,FW
進,VC
料,VC
 ,FW
 ,FW
 ,FW
 ,FW
-,DASHCATEGORY
 ,FW
65,Neu
 ,FW
-,FW
  表,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
3,Neu
 ,FW
可,D
由,P
滲透,VC
蒸發,Nv
技術,Na
分離,VA
或,Caa
純化,VH
之,DE
產物,Na
 ,FW
 ,FW
種,Nf
類,Na
  ,Na
化學式,Na
 種,Na
類,Na
  ,Na
化學式,Na
   ,Na
醇類,Na
(,PARENTHESISCATEGORY
Alcohols,FW
),PARENTHESISCATEGORY
  ,Na
－,FW
  ,Na
酯類,Na
(,PARENTHESISCATEGORY
Esters,FW
),PARENTHESISCATEGORY
  ,Na
－,FW
 ,FW
  甲醇,Nb
(,PARENTHESISCATEGORY
Methanol,FW
),PARENTHESISCATEGORY
  ,Na
CH4O,FW
  ,Na
醋酸甲酯,Na
  ,Na
(,PARENTHESISCATEGORY
Methyl,FW
 acetate(MeAc,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
 ,FW
 ,FW
C,FW
3,Neu
6,Neu
O2,FW
 ,FW
 ,FW
 ,FW
乙醇,Na
(,PARENTHESISCATEGORY
Ethanol,FW
),PARENTHESISCATEGORY
  C2H6O,FW
 ,FW
 ,FW
醋酸,Na
乙酯,Na
(,PARENTHESISCATEGORY
Ethyl acetate(EtAc,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C4H8O2   丙醇  ,ORG
(,PARENTHESISCATEGORY
Propanol,FW
(,PARENTHESISCATEGORY
both Isomers,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C3H8O  醋酸丁酯,ORG
(,PARENTHESISCATEGORY
Butyl acetate(BuAc,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C6H12O2   丁醇  ,ORG
(,PARENTHESISCATEGORY
Butanol(all Isomers,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
 ,FW
 ,FW
C4H10O,FW
 ,FW
醚類,Na
(,PARENTHESISCATEGORY
Ethers,FW
),PARENTHESISCATEGORY
  ,Na
－,FW
   戊醇,Nb
  ,Na
(,PARENTHESISCATEGORY
Pentanol,FW
all Isomers,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C5H12O 3 丁基甲醚  ,ORG
(,PARENTHESISCATEGORY
Methyl tert-butyl  ether(MTBE,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C5H12O   ,ORG
環己醇,Nb
(,PARENTHESISCATEGORY
Cyclohexanol,FW
),PARENTHESISCATEGORY
  C6H12O,ORG
 ,FW
3,Neu
 丁基乙醚,PER
  ,Na
(,PARENTHESISCATEGORY
Ethyl tert-butyl ether,FW
(,PARENTHESISCATEGORY
MTBE,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C6H14O   ,ORG
苯甲醇,Na
(,PARENTHESISCATEGORY
Benzyl alcohol)  C7H8O,FW
  異丙醚  ,PER
(,PARENTHESISCATEGORY
Di-isopropyl ether,FW
DIPE,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C6H14O,ORG
 ,FW
 ,FW
 酮,Na
類,VC
(,PARENTHESISCATEGORY
Ketones,FW
),PARENTHESISCATEGORY
 ,FW
 ,FW
－,FW
 ,FW
 四,Nb
氫呋,Na
喃 ,Na
 ,FW
(,PARENTHESISCATEGORY
Tetrahydro furan(THF,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C4H8O   丙酮,ORG
(,PARENTHESISCATEGORY
Acetone,FW
),PARENTHESISCATEGORY
  C3H6O,FW
 ,FW
 ,FW
二氧陸圜,Nb
(,PARENTHESISCATEGORY
Dioxane,FW
),PARENTHESISCATEGORY
  C4H8O2   甲基乙基酮 ,ORG
(,PARENTHESISCATEGORY
Butanone,FW
(,PARENTHESISCATEGORY
MEK,ORG
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C4H8O       甲基異丁,ORG
基酮,Na
  ,Na
(,PARENTHESISCATEGORY
Methyl isobutyl  ketone(MIBK,FW
),PARENTHESISCATEGORY
),PARENTHESISCATEGORY
  C6H12O,ORG
 ,FW
有,V_2
酸類,Na
(,PARENTHESISCATEGORY
Organic Acids,FW
),PARENTHESISCATEGORY
 ,FW
 ,FW
－,FW
 ,FW
  芳香,PER
族,Na
類,VC
(,PARENTHESISCATEGORY
Aromatics,FW
),PARENTHESISCATEGORY
 ,FW
 ,FW
－,FW
  醋,Nb
酸,Na
(,PARENTHESISCATEGORY
Acetic acid,FW
),PARENTHESISCATEGORY
  C2H4O2,FW
 ,FW
 ,FW
 ,FW
苯,Na
(,PARENTHESISCATEGORY
Benzene,FW
),PARENTHESISCATEGORY
 ,FW
 C6H6,FW
 ,FW
 ,FW
腈類,Na
(,PARENTHESISCATEGORY
Nitriles,FW
),PARENTHESISCATEGORY
  ,Na
－,FW
   甲苯,Na
(,PARENTHESISCATEGORY
Toluene,FW
),PARENTHESISCATEGORY
  C7H8,ORG
  ,Na
乙腈,Na
(,PARENTHESISCATEGORY
氰化,Na
甲烷,Na
),PARENTHESISCATEGORY
(,PARENTHESISCATEGORY
Acetonitrile,FW
),PARENTHESISCATEGORY
  C2H3N,FW
 ,FW
  酚,Na
(,PARENTHESISCATEGORY
Phenol,FW
),PARENTHESISCATEGORY
 ,FW
 C5H6O,FW
 ,FW
  ,Na
    ,Na
胺類,Na
(,PARENTHESISCATEGORY
Amines,FW
),PARENTHESISCATEGORY
  ,Na
－,FW
  ,Na
脂肪族,Na
化合物,Na
(,PARENTHESISCATEGORY
Aliphatics)  From C3 to C8,FW
 ,FW
 ,FW
三,Neu
乙基胺,Na
(,PARENTHESISCATEGORY
Triethylamine,FW
),PARENTHESISCATEGORY
  C6H15N,FW
 ,FW
鹵,Na
化,VH
碳,Na
氫,Na
化合物,Na
類,VC
 ,FW
 ,FW
(,PARENTHESISCATEGORY
Chlorinated hydrocarbons,FW
),PARENTHESISCATEGORY
  －   吡啶,ORG
(,PARENTHESISCATEGORY
Pyridine,FW
),PARENTHESISCATEGORY
  C6H5N  二氯,ORG
甲烷,Na
(,PARENTHESISCATEGORY
Dichloro methane,FW
),PARENTHESISCATEGORY
  CH2Cl2   苯,ORG
胺,Na
(,PARENTHESISCATEGORY
Aniline,FW
),PARENTHESISCATEGORY
  C6H7N  四氯乙烯,ORG
(,PARENTHESISCATEGORY
Perchloroethylene,FW
),PARENTHESISCATEGORY
  C2,ORG
l4,FW
 ,FW
 ,FW
 ,FW
資料,Na
來源,Na
：,COLONCATEGORY
http://www.sulzerchemtech.com/eprise/SulzerChemtech/Sites/products_services/pervap.html,FW
。,PERIODCATEGORY
     ,ORG
-,FW
 ,FW
66,Neu
 ,Na
-,DASHCATEGORY
  ,Na
b.,FW
擴散,VC
透析,VC
 ,FW
  ,Na
擴散,VC
透析,Na
是,SHI
由於,Cbb
液體,Na
相中,VA
之,DE
小分子,Na
，,SHI
因,Cbb
濃度,Na
差,VH
而,Cbb
穩定,VH
通過,VC
 ,FW
多,VH
孔隙,Na
薄膜,Na
並,D
擴散,VH
至,P
另,Nes
一,Neu
液相,Na
，,COMMACATEGORY
大分子,Na
通過,VC
薄膜,Na
比較,Dfa
困難,VH
。,PERIODCATEGORY
如,P
 ,FW
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
9,Neu
 ,FW
所,D
示,VE
，,COMMACATEGORY
中間,Ncd
以,P
膜,Na
相隔,VH
，,COMMACATEGORY
A,FW
 ,FW
側通入原液,Na
，,COMMACATEGORY
B,FW
 ,FW
側,Ncd
通入,VH
溶劑,Na
，,COMMACATEGORY
 ,FW
溶質,Na
及,Caa
溶劑,Na
相互,D
進行,VA
移動,VA
，,COMMACATEGORY
低分子,Na
比,P
高分子,Na
擴散,VH
速度,Na
快,VH
。,PERIODCATEGORY
 ,FW
 ,FW
 ,FW
擴散,VC
透析,Na
中,Ng
之,DE
擴散,VH
，,COMMACATEGORY
本質,Na
上,Ncd
是,SHI
一,Neu
種,Nf
熱力學,Na
平衡,Nv
效應,Na
，,COMMACATEGORY
其,Nep
現 象,Na
為,VG
溶質,Na
由,P
高濃度區,Nc
移向,VCL
低濃,Nc
度區,Na
；,PERIODCATEGORY
而,Cbb
透析,VC
則,D
是,SHI
溶液,Na
中,Ncd
溶質,Na
穿,VC
 透,Na
薄膜,Na
之,DE
現象,Na
。,PERIODCATEGORY
各,Nes
種,Nf
不同,VH
溶質,Na
可,D
藉由,P
其,Nep
擴散,VH
性,Na
差異,Na
而,Cbb
被,P
分離,Na
，,COMMACATEGORY
 ,FW
使,VL
溶質,Na
由,P
高濃,Nc
度區,Nc
穿透,VC
薄膜,Na
移向,VCL
低濃度區,Nc
。,PERIODCATEGORY
 ,Nb
  ,Na
基於,VJ
電中性,Na
原理,Na
，,Ng
離子,Na
交換,VC
薄膜,Na
兩側,Na
均,D
保持,VJ
離子,Na
電位,Na
中 性,Na
。,PERIODCATEGORY
因此,Cbb
，,COMMACATEGORY
兩側,Na
之,DE
陰,Na
離子,Na
必須,D
以,P
等,VC
速率,Na
方式,Na
穿透,VC
薄膜,Na
而,Cbb
互相,D
交,VC
 換,Na
，,COMMACATEGORY
或,Caa
每,Nes
一,Neu
陰,Na
離子,Na
擴散,VH
須,D
伴隨,VC
一陽,Na
離子,Na
。,PERIODCATEGORY
由於,Cbb
氫,Na
離子,Na
之,DE
物理,Na
尺,Na
 寸,Na
相當,Dfa
小,VH
，,COMMACATEGORY
所以,Cbb
極,Dfa
容易,Na
伴隨,VC
與,P
其,Nep
連結,VH
之,DE
陰,Na
離子,Na
（,PARENTHESISCATEGORY
如,P
 ,FW
Cl-,FW
、,PAUSECATEGORY
F-,FW
、,PAUSECATEGORY
NO3,FW
 ,FW
-,DASHCATEGORY
 ,FW
 ,FW
或,Caa
 ,FW
SO,FW
4,Neu
 ,FW
2,Neu
-,DASHCATEGORY
等,Cab
）,PARENTHESISCATEGORY
而,Cbb
遷移,VC
穿透,VC
選擇,VC
性離子,Na
交換,VC
薄膜,Na
；,PERIODCATEGORY
相對,VH
地,Na
金屬,Na
離子,Na
 ,Na
之,DE
物理,Na
尺寸,Na
較,Dfa
大,VH
，,PERIODCATEGORY
所以,Cbb
較,Dfa
不易,VH
與,Caa
其,Nep
連結,VH
之,DE
陰,Na
離子,Na
穿透,VA
，,COMMACATEGORY
但,Cbb
金屬,Na
 ,Na
離子,Na
滲透,Nv
(,PARENTHESISCATEGORY
Leakage,FW
),PARENTHESISCATEGORY
仍,D
會,D
發生,VJ
。,PERIODCATEGORY
資料,Na
來源,Na
：,COLONCATEGORY
田民波,PER
，,COMMACATEGORY
劉德全,PER
，,COMMACATEGORY
薄膜,Na
科學,Na
與,Caa
技術,Na
手冊,Na
，,COMMACATEGORY
機械,Na
工業,Na
，,COMMACATEGORY
1991,Neu
 ,FW
年,Nf
。,PERIODCATEGORY
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
9,Neu
 透析,Na
原理,Na
示,VC
意圖,Na
 ,FW
 ,FW
膜,Na
 ,FW
 ,FW
A,FW
 ,FW
 ,FW
B,FW
 ,FW
 ,FW
水 ,Na
溶,Na
 質,Na
 ,FW
 ,FW
 ,FW
原,Na
 ,FW
液,Na
 ,FW
 ,FW
 ,FW
滲,VC
 出,VC
 ,FW
液,Na
 ,FW
 ,FW
溶劑,Na
或,Caa
水,Na
 ,FW
滲,VC
析液,Na
 ,FW
 ,FW
  ,Na
-,FW
 ,FW
67,Neu
 ,FW
-,FW
 ,FW
 E.,Nb
超臨界,Na
流體,Na
萃取,VC
法 ,Na
  ,Na
超臨界,Na
流體,Na
萃取,VC
技術,Na
是,SHI
利用,VC
一,D
維持,VJ
在,P
高於,VJ
廢溶劑,Na
臨界點,Na
之,DE
溫 度,Na
及,Caa
壓力作,Na
萃取,VC
操作,Nv
，,COMMACATEGORY
而,Cbb
分離出所欲,VH
萃取,VC
之,DE
物質,Na
。,PERIODCATEGORY
超,VJ
臨界,Na
流體,Na
之,DE
優 ,Na
異,Na
萃取,VC
性能,Na
很,Dfa
早,VH
就,D
應用,VC
於,P
天然物,Na
萃取,VC
之,DE
研究,Nv
，,COMMACATEGORY
1978,Neu
 ,FW
年,Nf
更,Na
由,P
德國,LOC
將,P
 ,VC
其,Nep
商業,Na
運轉,VC
於,P
萃取,VC
咖啡因,Na
，,COMMACATEGORY
因,Cbb
其,Nep
成效,Na
極,Dfa
佳,VH
，,COMMACATEGORY
可,D
提供,VD
傳統,Na
分離,Nv
程序,Na
所,D
 ,FW
無法,D
達成,VC
之,DE
效能,Na
。,PERIODCATEGORY
一般,Cbb
而言,VE
，,COMMACATEGORY
利用,VC
超臨界,Na
流體,Na
作為,VG
萃取,VC
廢溶劑,Na
有,V_2
下,Nes
 述,Na
幾,Neu
項,Nf
特點,Na
：,FW
   a.,PER
以,P
 ,Ncd
CO2,FW
 ,Na
為,P
萃取劑,Na
時,Ng
，,SHI
無毒,VH
且,Caa
不殘餘,VH
，,SHI
安全性,Na
極,Dfa
高,VH
。,PERIODCATEGORY
 ,FW
 ,FW
 ,FW
b,FW
.,PERIODCATEGORY
選擇,VC
低臨界,Na
溫度,Na
流體,Na
，,COMMACATEGORY
製程,Na
可,D
在,P
低溫,Na
操作,Nv
，,COMMACATEGORY
適合,VH
熱,VH
敏感性,Na
物質,Na
。,PERIODCATEGORY
 ,FW
 ,FW
 ,FW
c,FW
.,PERIODCATEGORY
萃取劑,Na
分離容易,VH
，,COMMACATEGORY
產品,Na
品質,Na
佳,VH
。,PERIODCATEGORY
d.,FW
在,P
溶解力,Na
或,Caa
分離,Na
效率,Na
不佳,VH
時,Ng
，,COMMACATEGORY
可,D
添加,VC
少量,Na
共,Da
溶劑,Na
(,PARENTHESISCATEGORY
Cosolvent,FW
),PARENTHESISCATEGORY
調整,VC
 物性,Na
，,COMMACATEGORY
以,P
提高,VC
萃取,VC
性能,Na
。,PERIODCATEGORY
 ,FW
 ,FW
 ,FW
e.,FW
可,D
與,P
吸附,VC
、,PAUSECATEGORY
層析,Na
等,Cab
分離法,Na
並,D
用,VC
，,COMMACATEGORY
以,P
達到,VC
高度,Na
分離,VH
之,DE
效果,Na
。,PERIODCATEGORY
 ,FW
 ,FW
 ,FW
f.,FW
質,Na
傳,VC
速度,Na
快,VH
，,COMMACATEGORY
適合,VH
高,VH
黏度,Na
或,Caa
低,VH
濃度,Na
物質,Na
之,DE
處理,Na
。,PERIODCATEGORY
 ,FW
  ,Na
但,Cbb
超臨界,Na
流體,Na
萃取,VC
在,P
實際,Na
應用,Na
上,Ng
，,SHI
仍,D
侷限,VC
於,P
特定,A
用途,Na
，,SHI
其,Nep
缺點,Na
 ,Na
為,VG
：,VG
 ,Na
  ,Nb
a.,FW
須,D
高壓,Na
裝置,Na
，,COMMACATEGORY
設備,Na
製作,Nv
困難,Na
，,COMMACATEGORY
投資,VC
成本,Na
大,VH
。,PERIODCATEGORY
 ,FW
  ,Nb
b,FW
.,PERIODCATEGORY
高壓,Na
狀態,Na
下,Ng
之,DE
物性,Na
、,PAUSECATEGORY
相平衡,VH
資料,Na
不足,VH
，,COMMACATEGORY
萃取,VC
機制,Na
尚,D
不清楚,VH
。,PERIODCATEGORY
c,FW
.,PERIODCATEGORY
目前,Nd
實廠,Nc
放大,VC
之,DE
營運,Nv
操作,Nv
等,Cab
經濟性,Na
資料,Na
不足,VH
。,PERIODCATEGORY
 ,FW
  d,PER
.,PERIODCATEGORY
分離精,Na
密度,Na
不足,VH
，,COMMACATEGORY
產品,Na
差別化,VHC
困難,VH
，,COMMACATEGORY
因此,Cbb
在,P
處理,Na
對象,Na
成分,Na
複雜,VH
 ,FW
時,Ng
，,COMMACATEGORY
選擇,VC
率,Na
偏低,VH
