Entity,EntityIndex,Relation,RelationIndex
"['其表面', '兩邊', '中間厚形狀']","[2, 5, 9]","['為', '薄']","[3, 6]"
"['蝕刻', '各向', '', '蝕刻製程']","[1, 4, 6, 9]",['酸'],[0]
"['矽晶圓片的酸性蝕刻', '硝酸', '表面']","[4, 8, 12]","['利用', '來', '晶片']","[7, 9, 11]"
"['中', '和', '', '大約', '5']","[3, 5, 7, 12, 16]","['酸蝕', '和']","[0, 9]"
"['蝕刻溫度', '~', '°']","[1, 6, 8]",['控制'],[3]
"['HNO3、H3PO4混酸', '矽晶圓片', '蝕刻']","[6, 9, 12]","['使用', '進行', '酸']","[0, 10, 11]"
"['其矽晶圓片', '蝕刻', '後表面平坦度變化量']","[2, 4, 9]","['加工', '極其微', '小']","[5, 10, 11]"
"['表面', '留有', '', '」']","[1, 4, 6, 9]","['明顯', '']","[5, 6]"
"['了', '表面', '力損傷及這種', '磨削印痕']","[1, 3, 9, 11]",['消除'],[2]
"['後', '矽晶圓片表面', '」', '蝕刻處理']","[0, 5, 10, 13]",['進行'],[6]
"['矽晶圓片', '弱性', '表面蝕刻']","[3, 6, 10]","['進行', '處理']","[4, 11]"
"['', '製程', '製程相比']","[2, 5, 9]","['用', '蝕刻']","[1, 7]"
"['-', '矽晶', '', '蝕刻', '鹼', '製程的比較', '參數酸', ' 鹼蝕刻製程蝕刻特性各向同性', '向異性蝕刻反應', '吸熱表面平坦度', '晶片旋轉、特製', ' 具', '製程', '表面平坦度', '便', '達到', '表面平坦', '粗糙', '  比鹼']","[2, 7, 9, 11, 14, 18, 21, 31, 37, 42, 49, 52, 62, 68, 73, 75, 79, 83, 86]","['蝕刻', '充分', '液', '改善', '其', '需要', '機構', '一定', '', '後表面', '製程']","[22, 54, 57, 65, 66, 70, 72, 76, 77, 82, 88]"
"['晶片', '', '程度有關', '蝕刻製程大']","[1, 3, 6, 10]","['原有', '比酸']","[2, 7]"
"['晶片', '', '程度有關', '表面殘留的微粒', '存在於', '', '就難去掉']","[1, 3, 6, 12, 17, 21, 26]","['原有', '矽晶', '原先', '']","[2, 7, 13, 21]"
"['表面', '不', '吸附']","[3, 5, 7]","['低', '容易', '微粒']","[1, 6, 8]"
"['電阻率', '比較', '晶片', '轉移', '水中', '必須小於2秒']","[4, 6, 10, 14, 17, 23]","['低', '產生', '斑痕', '時 ']","[1, 8, 9, 18]"
"['晶片電阻率', '液槽', '壽命比較', '加工', '化學試劑比', '學試劑約', '2倍', '所用', '便宜', '保護處理', '複雜環保', '來源', '張厥宗']","[3, 7, 10, 14, 20, 26, 29, 32, 36, 39, 45, 51, 53]","['蝕刻', '長', '所', '化 ', '試劑', '比較', '相對', '：']","[5, 13, 16, 24, 34, 43, 47, 52]"
"['重 金', '金、銅、鐵、鉻']","[4, 12]","['污染', '包括', '屬']","[1, 2, 5]"
"['漏電', '顆', '矽渣、塵埃、細菌', '生物', '膠 體纖維']","[3, 5, 14, 17, 21]","['引起', '嚴重', '污染', '包括', '微']","[0, 1, 7, 8, 15]"
"['方法', '物理', '化學', '兩種']","[3, 6, 9, 11]","['清除', '污染', '有', '清洗', '清洗']","[0, 1, 5, 7, 10]"
"['晶片', '劃痕', '損傷']","[0, 3, 5]","['不易', '產生']","[1, 2]"
"['3', '超聲 波', '超聲波聲', '溶液']","[1, 4, 7, 10]","['清洗', '傳入']","[5, 9]"
"['純度', '純水（']","[4, 8]","['高', '去', '洗滌', '（']","[2, 5, 13, 14]"
"['純度的氣體', '氮氣']","[4, 7]","['高', '脫水']","[1, 11]"
"['揮發性', '溶劑', '異丙醇', '濕乾']","[4, 6, 9, 15]","['高', '進行', '化']","[2, 13, 16]"
"['晶片', '技術']","[1, 3]",[],[]
"[' 學配比', '清洗順序', '方面', '調整修改']","[4, 10, 14, 20]","['化', '做', '細微']","[2, 15, 17]"
"['化學', '了', '原子、離子', '污染']","[0, 4, 9, 12]","['清洗', '去', '不可見']","[1, 6, 10]"
"['方法', '晶片', '成分', '：', '=', '﹕', '4', '酸', '清洗']","[1, 4, 7, 11, 14, 16, 19, 23, 25]",['比為'],[8]
"['雙氧水體系', '晶片效果']","[2, 5]","['採用', '清洗', '好']","[0, 3, 7]"
"['', '化學溶液清洗晶片']","[2, 7]","['通入', '不同', '清洗']","[0, 1, 3]"
"['純水', '化學酸液後']","[1, 7]","['超', '清洗', '殘留']","[0, 2, 3]"
"['化學清洗站', '噴洗式的化學清洗機']","[5, 10]","['不同', '浸']","[0, 2]"
"['清洗', '化學溶劑', '清洗晶片']","[4, 7, 12]","['不同', '用', '通入', '容器']","[2, 5, 8, 10]"
"['隨後', '純水', '晶片', '容器']","[0, 3, 5, 7]","['通入', '超', '洗滌']","[1, 2, 4]"
"['阻值後', '種化學溶液進行']","[5, 12]","['達到', '設定', '通入', '第二', '清洗', '和']","[1, 2, 7, 8, 13, 14]"
"['程序', '順 序', '清洗']","[1, 4, 7]","['設定', '來', '完成']","[2, 5, 6]"
"['清洗', '化學溶液時']","[4, 8]","['切換', '不同', '用']","[1, 2, 5]"
['化學溶液'],[4],"['避免', '不同', '交互', '污染']","[1, 2, 5, 6]"
"['IPA', '', '分子力']","[1, 3, 7]","['利用', '表面']","[0, 4]"
"['圖', '-', '所示為', '密閉容器的清洗']","[0, 2, 5, 11]","['流式', '']","[7, 10]"
"['這種全', '容器化學', '系統的設計']","[2, 7, 11]","['密閉', '單', '清洗', '簡單', '新穎']","[4, 5, 8, 13, 15]"
"['體積', '化學清洗槽', '/']","[0, 7, 9]","['為', '浸']","[2, 3]"
"['化學品', '純水的用量', '成本', '化學', '酸槽']","[2, 6, 8, 10, 12]","['清洗', '用', '清洗', '低', '很多']","[0, 1, 11, 14, 15]"
"['用', '溶液可', '容器內']","[2, 5, 10]","['清洗', '化學', '到達', '清洗']","[1, 3, 7, 8]"
"['全流式', '單容器化學', '系統', ' 下優點', '溶液', '（2）', '用量']","[1, 4, 6, 10, 16, 21, 27]","['密閉', '清洗', '有', '可']","[2, 5, 7, 22]"
"['全流設計', '效率', '廢氣', '排放', '（', '系統', '價格', '', '（', '使用', '為新鮮和純淨的化學', '水痕']","[2, 5, 13, 16, 18, 21, 24, 26, 29, 33, 40, 51]","['使', '洗滌', '高', '', '）', '5', '', '6', '表面', '微粒', '且']","[3, 4, 7, 15, 20, 30, 33, 43, 46, 47, 49]"
"['均勻度', '（7', '清洗', '濃度、', '', '穩定']","[2, 6, 8, 14, 16, 18]","['刻蝕', '高', '溶液', '']","[1, 4, 11, 12]"
"['晶片面積的電子元件', '密集']","[5, 8]","['趨向', '高', '化']","[6, 7, 9]"
"['晶片', '製程上的一個挑戰']","[4, 12]","['清 ', '洗大', '未來']","[1, 2, 6]"
"['工藝中', '']","[5, 8]","['來', '清洗', '']","[2, 3, 8]"
"['化學清洗', '純水', '化學品的用量', '環境的保護', '發展', '技術要', '']","[3, 5, 9, 14, 18, 21, 23]","['節', '用', '來', '清洗', '']","[0, 4, 17, 19, 23]"
"['液材料', '純度', '雜質', '污染']","[2, 6, 9, 11]","['清洗', '高', '低', '無']","[0, 4, 7, 10]"
"['純度的化學品', '和', '雜質']","[3, 8, 11]","['高', '降', '低', '微粒']","[0, 5, 6, 7]"
"['單一', '配方', '化學', '清洗效果']","[1, 3, 10, 13]","['開發', '清洗', '達到', '溶液']","[0, 2, 7, 11]"
"['表面', '晶片表面']","[1, 6]","['無', '微', '粗糙']","[0, 2, 3]"
"['則', '', '效率高', '大', '製程']","[2, 6, 10, 13, 15]","['清洗', '清洗', '循環短', '', '']","[0, 4, 5, 10, 13]"
"['矽晶圓 片', '圖', '-', '']","[2, 6, 8, 10]",[],[]
"['過程', '二階段']","[1, 4]","['清洗', '分']","[0, 2]"
"['圖', '-', '  全', '', '程序備註', '氨', '過氧化氫', '混合物', '來源', '張厥宗']","[0, 2, 4, 8, 11, 17, 21, 25, 27, 29]","['容器', '為', '-']","[7, 14, 18]"
['矽晶圓片'],[1],"['清洗', '直接', 'IC']","[5, 7, 9]"
"['真空', '充氣', '', '氮氣', '其包裝口', '處理']","[1, 3, 8, 10, 14, 17]","['採用', '用', '潔淨', '高純', '進行', '密封']","[0, 6, 7, 9, 15, 16]"
"['矽晶圓片', '時能', '']","[4, 10, 13]","['了確', '保', '相關', '程序', '嚴格', '', '清洗']","[1, 2, 7, 8, 12, 13, 15]"
"['半導體工廠水', '個', '問題']","[3, 8, 12]","['回收', '利用', '重要']","[4, 6, 10]"
"['半導體材料', '積體電路工廠', '純水系統', '以下系統中的水']","[0, 5, 8, 15]","['超', '進行', '回收', '處理']","[6, 16, 17, 20]"
"['1', '', '（', '）', '床塔的淋洗水', '）', '', '（', '真空', '冷卻水（', '）', '過濾', '（6） 洗', '中', '幾道', '（7）', '排放', '總']","[1, 6, 8, 10, 15, 18, 23, 29, 32, 38, 40, 44, 50, 53, 57, 62, 65, 67]","['滲透', '濃鹽水', '和', '反', '裝置', '淋']","[4, 5, 26, 27, 34, 45]"
"['營運成本的方法', '以下方面的問題', '反', '', '（', '）減少多層過濾器、混床塔', '淋洗', '量', '溢流及', '4', '節水']","[5, 11, 17, 19, 22, 31, 36, 38, 47, 51, 56]","['降低', '生產', '考慮', '採水', '率', '濾', '3', '系統', '方面']","[0, 1, 7, 20, 21, 33, 40, 44, 54]"
"['矽晶圓片的化學清洗製程', '', '純度化學試劑', '', '技術', '見表4.2-2', '示']","[5, 8, 13, 16, 18, 23, 25]","['用', '超高']","[7, 9]"
"['半導體材料', '積體電路工廠所用', '氣體中的雜質', '量 的控制']","[2, 8, 14, 18]","['高', '純', '含', '來', '嚴格']","[9, 10, 15, 20, 22]"
"['以下三大', '', '供應']","[4, 6, 8]","['包括', '類', '', '系統']","[1, 5, 6, 9]"
"['壓縮空氣的', '控制', '標準化', '', '於', '年', ' 准', '', '8573', '91', '空氣', '部份', '等級)']","[7, 9, 13, 15, 21, 23, 26, 28, 30, 32, 37, 39, 46]","['用', '可', '國際', '組織', '－', '(', '和', '質量']","[3, 10, 12, 14, 31, 33, 42, 43]"
"['2）', '性氣體', '指半導體', '中', '見']","[2, 4, 7, 10, 13]","['製程', '常', '性氣體']","[9, 11, 15]"
"['3', '係', '生產', '中常', '', '主要', '氣體', ' HCI', '', '', '', 'SiH2Cl2', ' Ar', '', '氣體', '4', '4', ' He', 'D.', '氣體', 'AsH', '', 'HF', ' 表', 'SEMI', '超高', '', '產品', '33', '主要', '量', '9（', '）0.5', '粒（', '）   SEMI-C7  ', '於', '～', 'μm線', '7.5', '93', '－', '   C7.3', '＜', '＜', '10', '10', '25', '   SEMI-C8   ', '於', '0.2', 'm', '寬', '－', '8.3', '92', '1', '5', '半導體工業']","[1, 5, 8, 11, 13, 16, 22, 25, 27, 29, 31, 35, 40, 42, 53, 57, 59, 62, 65, 68, 73, 75, 78, 80, 84, 87, 90, 95, 97, 99, 103, 107, 110, 115, 119, 121, 123, 126, 129, 131, 133, 139, 144, 148, 156, 159, 162, 165, 167, 170, 172, 174, 181, 184, 189, 194, 199, 203]","['指', '半導體', '製程', '', '：', 'SiH', '/', '-', '   C', '10', '~']","[6, 7, 9, 13, 18, 58, 60, 105, 128, 153, 163]"
"['純度氣體的供應方式', '現場製氣']","[5, 8]","['高', '有']","[0, 6]"
"['各種', '', '', '措施', '；', '輸送系統中還', '', '監視系統']","[2, 4, 6, 9, 11, 16, 20, 23]","['應有', '嚴格', '相關', '']","[0, 3, 19, 20]"
"['-', '3', '種', '瓶裝', '顏色', '識 氣瓶的名稱 氣瓶', '表面', '', '氫氣', '紅 ', '黑氨氣 黃', '氯氣', '壓縮', '白 硫化氫白紅 石油氣', '烷烴）', '石油氣（', '）', '', '黑 氮氣黑黃 二氧化碳白 ', '碳酰二', '白', '其他可燃氣灰 ', '其他不可燃氣 灰', '惰', '灰綠-45-6', '廢水、廢氣、廢棄物處理系統及安全防護系統半導體材料或積體電路', '一般工業工廠環境的', '特定的「']","[2, 6, 8, 10, 13, 20, 23, 25, 27, 29, 34, 36, 39, 47, 50, 54, 56, 60, 68, 71, 73, 78, 83, 85, 92, 109, 116, 123]","['標', '灰', ' 氟', '黑', '氯氣', '黑', '紅', '工廠', '顯著', '內進行']","[14, 51, 59, 69, 72, 74, 79, 110, 117, 126]"
"['人員', '生產過程中', '', '', '」', '']","[3, 7, 15, 17, 20, 22]","['要求', '從業', '特別', '強調', '有', '高', '純', '']","[1, 2, 8, 9, 11, 13, 14, 17]"
"['半導體', '製程中', '大量各種不同性質', '', '等', '試劑和', '種含有', '', '', '', '', '']","[1, 4, 11, 13, 15, 18, 21, 23, 25, 27, 29, 32]","['生產', '使用', '了', '腐蝕性', '', '產生', '', '氣體']","[2, 5, 6, 22, 27, 30, 32, 33]"
"['晶圓', '晶圓', '都', '矽晶圓棒的中間部分']","[2, 4, 6, 12]","['生產', '集中']","[0, 7]"
['矽晶頭尾料'],[4],"['產生', '廢']","[0, 2]"
"['晶矽材料廠', '太陽能電 池', '技術']","[2, 8, 11]","['多', '開發出', '改善', '新', '製造']","[0, 3, 4, 9, 10]"
"['矽晶圓破片資源', '技術', '應用', '生產太陽能電池晶片']","[4, 6, 8, 13]","['造成', '化', '廣泛']","[0, 5, 7]"
"['多種', '排列方向的單晶']","[3, 8]","['不同', '組成']","[4, 9]"
['熔融態的矽'],[3],"['利用', '鑄造', '固化', ' 成']","[0, 4, 5, 7]"
"['其矽的特性', '轉換', '']","[5, 9, 11]","['利用', '達成', '']","[1, 6, 9]"
"['半導體', '所', '', '']","[2, 4, 6, 8]","['', '條件']","[6, 10]"
"['矽晶圓', '矽晶圓片']","[4, 9]","['利用', '破損', '太陽能']","[0, 1, 7]"
"['晶片', '光亮面', '一層', '硼酸與氧化鋁', '濃度', '例1：3）', '']","[2, 6, 9, 13, 15, 21, 23]","['塗上', '']","[7, 23]"
"['晶片', '後']","[1, 3]",['取出'],[2]
"['各製程', '', '晶圓破片摻雜', '原料進入']","[1, 3, 7, 11]","['產生', '多', '晶矽', '澆鑄', '爐']","[2, 8, 9, 12, 13]"
"['太陽能', '人', '石化燃料之外', '能源之來源']","[1, 3, 10, 16]","['為', '類', '替代', '經濟', '有效']","[2, 4, 7, 12, 13]"
"['(', ')', '所', '', '作為', '太陽能電池']","[7, 9, 11, 13, 15, 19]","['若', '有效', '利用', '廢', '晶圓', '', '生產']","[1, 3, 4, 5, 6, 13, 16]"
"['', '']","[5, 9]","['降低', '開採', '化', '矽']","[2, 3, 7, 8]"
"['同時', '廢棄物', '資源']","[0, 2, 4]","['有效', '化', '利用']","[3, 5, 7]"
['更環 保之電池'],[8],"['製造', '更', '乾淨']","[2, 3, 4]"
"['一種', '太陽能矽晶圓片的作法', '晶矽鑄造法']","[2, 8, 12]","['製造', '多']","[3, 10]"
"['純度', '原料進行']","[5, 8]","['使用', '高', '', '提拉', '成長為', '單晶']","[1, 3, 5, 9, 10, 11]"
"['原料成本', '形中']","[1, 4]","['無', '增加', '不少']","[2, 5, 6]"
"['純度的原料', '太陽能單晶矽晶圓', '障礙']","[3, 8, 10]","['高', '取得', '成為']","[0, 4, 5]"
"['圖', '-', '為矽', '製成太陽能', '流程']","[0, 2, 5, 8, 10]",['電池'],[9]
"['其中', '業 ', '鋁蝕刻液', '其量']","[0, 2, 8, 11]","['產生', '大']","[4, 13]"
['業者'],[3],"['有', '回收', '投入', '收集', '利用']","[1, 2, 4, 5, 7]"
"['半導體業 者', '', '磷酸']","[3, 6, 8]","['產生', '廢']","[5, 7]"
"['近年', '河川湖 泊', '問題', '各界關注']","[1, 6, 9, 12]","['來', '養化', '受到']","[2, 8, 10]"
"['資源', '廢液', '政府單位']","[2, 7, 10]","['利用', '回收', '受到', '極力推 廣']","[4, 5, 8, 11]"
"['半導體業', '', '磷酸']","[0, 2, 4]","['產生', '廢']","[1, 3]"
['廢水系統'],[6],"['回收', '排入']","[3, 4]"
"['酸液', '切片及研 磨製程', '損傷層', '', '(', ')']","[1, 6, 9, 14, 16, 20]","['產生', '矽']","[7, 19]"
"['矽晶圓片製程', '廢酸', '硫酸、磷酸、高 濃度氫氟酸及醋酸、硝酸', '氟酸之三成份混酸']","[2, 5, 18, 24]","['產生', '包括', '氫']","[3, 6, 19]"
"['副產品的用途', '']","[5, 10]","['回收', '酸', '特別', '']","[0, 1, 8, 10]"
"['用途', '1', '製程中']","[3, 7, 12]","['回收', '酸', '不外乎', '用於']","[0, 1, 4, 9]"
"['目前', '廠外', '作為', '', '使用']","[0, 4, 8, 10, 12]","['回收', '利用', '化學品']","[5, 7, 9]"
"['', '標準']","[3, 5]","['稱', '為', '清洗']","[2, 4, 6]"
"['圖', '-', '矽晶', '製造流程', '51', '資源', '電路', '常使用', '純度', '清洗原料表面', '微量 ']","[0, 2, 4, 7, 9, 16, 21, 26, 29, 34, 38]","['-', '過程', '高', '極', '塵埃']","[8, 23, 27, 35, 39]"
"['矽晶圓製程中', '純度之硫酸', '矽晶體表面']","[3, 9, 13]","['高', '清洗']","[5, 10]"
"['此時', '硫酸濃度', '%(', ')']","[1, 6, 11, 16]","['排放', '為', '雙氧水']","[3, 8, 15]"
"['資源', '硫酸鹽', '製程']","[3, 8, 11]","['利', '用作為', '相關']","[5, 6, 9]"
"['廢硫酸資源', '技術', '資源', '途徑']","[1, 3, 6, 10]","['化', '化', '利用', '規劃']","[2, 7, 9, 12]"
"['各混凝劑', '廠商', '聚 合物種類型式']","[2, 4, 10]","['製造', '產製', '多']","[3, 6, 12]"
"['1', '廢硫酸資源', '聚氯化鋁', '程序', '將收集', '反應槽']","[1, 5, 9, 12, 22, 26]","['化', '產製', '酸定量']","[6, 7, 24]"
"['產物', '(SO', '3之硫酸溶液']","[0, 6, 12]","['為', '含']","[1, 2]"
"['2', '廢硫酸資源', '聚硫酸鐵', '程序', '過', '鐵、', '', '等', '調配']","[1, 4, 9, 12, 18, 23, 25, 27, 29]","['化', '產製', '含', ')']","[5, 6, 17, 20]"
"['磷酸', '技術半導體業', '廢', '主要是', '電路', '製造廠']","[3, 7, 9, 12, 15, 20]","['化', '產生', '生產', '積體', ')']","[5, 8, 13, 14, 18]"
"['製程主要', '為', '', '', '三大', '；', '蝕刻分為', '和', '兩大']","[2, 4, 6, 8, 11, 13, 16, 18, 21]","['薄膜', '部份', '濕式法', '類']","[5, 12, 17, 22]"
"['半導體', '廢棄物']","[2, 5]",['業產出'],[3]
"['資源', '磷酸鹽', '製程之原料']","[3, 8, 12]","['利用', '作為', '相關']","[5, 6, 9]"
"['磷酸資源', '技術', '資源', '途徑', '規劃']","[2, 4, 7, 11, 13]","['廢', '化', '化', '利用']","[0, 3, 8, 10]"
"['半導體業者', '', '成份', '磷酸相似']","[2, 5, 9, 13]","['產生', '磷酸']","[4, 7]"
"['', '', '原料發生', '和', '後']","[0, 2, 5, 7, 9]","['不同', '中']","[1, 6]"
['磷酸鹽產品'],[5],"['製造', '不同']","[1, 2]"
"['1', '氫氧化鈉中', '反應', '磷酸鈉', '', '', '加入', '槽']","[1, 6, 8, 11, 14, 17, 19, 21]","['產生', '磷酸', '純鹼', '中']","[9, 16, 18, 22]"
"['此時', '中', '反應']","[1, 4, 6]",['進行'],[3]
"['2', '氫氧化鉀反應', '磷酸一鉀', '', '', '氧化', '反應槽中']","[1, 7, 11, 14, 17, 19, 23]","['產生', '磷酸', '氫']","[8, 16, 18]"
['此結晶物溶液'],[4],"['進行', '脫水']","[5, 6]"
"['3', '碳酸鈣反應', '磷酸二鈣', '碳酸鈣加入', '中']","[1, 5, 9, 17, 19]","['產生', '液', '反應']","[6, 14, 20]"
['此結晶物溶液'],[4],"['進行', '脫水']","[5, 6]"
['此結晶物溶液'],[4],"['進行', '脫水']","[5, 6]"
"['反應時', '弱酸性', '中度', '水', '低毒性']","[1, 3, 5, 7, 9]","['為', '溶於']","[2, 6]"
"['3', '廢氫氟酸資源', '技術', '生產過程中常使用大', '', '氟酸', '爐管清洗及晶片蝕刻']","[0, 4, 6, 15, 17, 19, 25]","['化', '', '氫']","[5, 17, 18]"
"['大部分', '水', '氟系廢水']","[0, 3, 6]","['伴隨', '清洗', '排入', '系統']","[1, 2, 4, 8]"
"['廢', '氟酸(', '%)', '(', '~', '%)', '氟酸']","[3, 6, 11, 14, 16, 19, 21]","['低', '濃度', '氫', '濃度']","[1, 2, 4, 13]"
"['其中高濃度', '3', '25%', '氫氟 酸', '事業廢棄物個案', '目的主管機關', '申請']","[1, 3, 6, 9, 14, 21, 23]","['利用', '提出']","[16, 22]"
"['業經', '機構']","[0, 8]","['利', ' 用', '清運', '回收', '利用']","[6, 7, 9, 10, 12]"
"['產出', '中含', '', '約', '40', '60', '間']","[8, 14, 18, 20, 22, 24, 26]","['化', '成分', '~', '%']","[16, 19, 23, 25]"
"['氟', '鈣', ' 度', '%以上']","[3, 5, 7, 12]","['形成', '化', '濃', '達到']","[1, 4, 6, 9]"
"['-', '技術', '種', '複雜']","[2, 7, 10, 12]",['類'],[11]
"['其', '源大體上', '兩類']","[0, 4, 7]","['產生', '分為']","[1, 6]"
"['過程中', '廢溶劑']","[4, 8]","['生產', '產生', '不同']","[2, 5, 6]"
['處理'],[5],"['高', '不易']","[3, 6]"
"['廢溶劑資源', '處理方式', '廢溶劑', '處理後', '', '處 理', '輔助燃料']","[5, 8, 11, 14, 17, 19, 23]","['見', '化', '分為', '回收', '利用', '焚化', '作為']","[2, 6, 10, 12, 16, 18, 21]"
"['以下', '各資源', '技術']","[0, 3, 5]","['化', '說明']","[4, 6]"
"['回收', '再', '一般', '機溶劑', '', '兩']","[3, 5, 7, 10, 14, 16]","['利用', '有', '', '廢液', '類']","[6, 9, 14, 15, 18]"
"['廢溶劑', '處理方式', '氣態回收及液態', '處理']","[0, 3, 9, 11]","['回收', '分為', '回收']","[1, 5, 10]"
"['氣態廢溶劑', '處理方式']","[2, 5]","['有關', '回收', '彙整', '如下']","[0, 3, 6, 7]"
['所得之溶劑'],[2],"['回收', '利用']","[4, 6]"
"['流程', '濃度廢氣特 性']","[1, 8]","['處理', '高', '而定']","[0, 5, 9]"
"['代表之有機', '系統', '布雷登', '溶劑回收流程', '詳', '-1', '示']","[3, 6, 8, 12, 14, 19, 21]","['', '為', '（']","[2, 7, 13]"
"['該系統', '冷', '', '能力之布雷登熱泵', '', '種具', '', '效率']","[1, 5, 7, 11, 16, 19, 21, 25]","['具', '加熱', '為', '', '經濟', '能源']","[4, 8, 12, 16, 20, 23]"
"['表 5.3', '1', '', '  名 ', '沸點', '密度 (', '3', '名 ', '(', 'cm', '特 ', '二氯', '40.11.335', '', '116.50.869', '', '燃', '1.485特臭', '燃 醋酸', '0.864', '易', '三氯', '5  芳香', '燃', '化碳', '1.585', '有毒 甲基乙基', '(', '79.6', '', '燃', '乙烯86.71.459 醚香、不', '56.1', '  芳香、易燃四氯', '1.625  醚香', '易', '64.5', '燃', '', '燃 甲基異丁 基酮', '  芳香', '燃  異丙醇', '橡膠酒', '80.1', '', '燃', '可燃 甲苯110.70', '', '燃戊醇137.800.824', '', '燃 二甲苯', '易醋酸甲酯', '0.924  芳香、易', '0.660  芳香、易燃醋酸', '78', '800.886', '易', '-102', '', '基甲', '(', '152.8', '.953', '為', '常', '有機溶劑']","[1, 3, 5, 8, 10, 15, 17, 21, 24, 30, 33, 35, 38, 40, 45, 47, 49, 55, 58, 61, 64, 66, 72, 74, 76, 78, 83, 85, 88, 91, 93, 100, 103, 109, 114, 122, 125, 128, 134, 138, 145, 148, 155, 158, 161, 163, 172, 175, 180, 182, 185, 192, 197, 206, 208, 211, 214, 220, 223, 227, 229, 232, 235, 241, 244, 248]","['(', '(', '性 ', '75.0', '1.3', '不燃', '三氯', '0.797', ' 丁酮', '0.816', '酒香', 'IPA', ')', '99.5', '0.805', '', '易', '0.860', '淡苯味', '己烷', '68.742', '乙酯', '醋酸', '丙酯', '0']","[11, 28, 34, 68, 69, 79, 94, 104, 117, 131, 133, 150, 151, 165, 166, 175, 176, 187, 188, 199, 200, 207, 216, 217, 233]"
"['後', '', '加溫']","[0, 3, 5]",[''],[3]
"['後', ' 溫']","[3, 6]","['吸附', '飽和', '加', '再生']","[1, 2, 5, 7]"
"['傳統的吸附及再生過程', '圖', '-', '所']","[5, 7, 9, 11]",[],[]
"['載體', '空 間', '本身', '氣流阻力', '', '表面', '粉塵', ' 塞物者']","[0, 4, 7, 12, 14, 16, 23, 26]","['需', '自由', '大', '磨損', '小', '小', '積', '大', '不易', '產生', '堵']","[1, 2, 5, 8, 9, 13, 17, 18, 20, 21, 24]"
"['圖', '催化', '法', '廢氣', ' 餘熱利用', '催化床', '各', '廢溶劑', '', '-']","[5, 9, 11, 13, 18, 22, 32, 34, 37, 44]","['備註', '鼓風機', 'P', '排氣', '回收', '比較', '彙整']","[0, 4, 15, 16, 35, 39, 40]"
['氯 化合物'],[4],"['回收', '含']","[1, 2]"
"['2', '液態廢溶劑', '處理方式', '', '處理', '以資源', '策略']","[1, 4, 7, 9, 11, 15, 18]","['回收', '當']","[5, 13]"
"['前者', '化學物品']","[1, 6]","['係', '回收', '利用', '為']","[2, 7, 9, 10]"
"['蒸餾回收法', '沸點', '揮發性']","[3, 8, 11]","['', '高', '特點']","[8, 9, 12]"
"['廢溶劑中各', '', '分離乃', '']","[4, 6, 9, 13]","['混合', '不同', '最', '']","[1, 5, 11, 13]"
['其優點'],[1],"['為', '操作', '簡單']","[2, 3, 4]"
"['混合液中各成分之蒸氣分壓', '其', '中', '率而定']","[6, 8, 12, 15]",['：'],[16]
"['為', 'i在', '中之蒸氣分壓']","[1, 4, 9]",['成分'],[2]
"['為', '成分', '液相', '莫耳分率']","[2, 4, 7, 10]",[],[]
"['任何溫度之氣相總蒸氣壓', '該溶劑與水']","[6, 16]","['為', '組成']","[11, 17]"
"['廢溶劑中異丙醇與水之莫耳分率', '1.5：', '（', '丙醇', '為', '）']","[9, 14, 16, 20, 22, 24]",['為'],[12]
"['溫度時異', '', '和', '壓']","[5, 7, 9, 11]","['即', '丙醇', '為', '760']","[1, 6, 12, 13]"
"['氣相中', '丙醇', '比例']","[2, 4, 8]","['異', '蒸出', '來', '高']","[3, 6, 10, 12]"
"['蒸餾', '異丙醇純度']","[2, 7]","['回收', '來', '低']","[3, 9, 11]"
"['工廠', ' 作', '段式之分餾塔', '氣', '液相中成分', ' 例']","[2, 4, 11, 14, 19, 22]","['化', '操', '多', '反覆', '調整', '組成']","[0, 3, 8, 12, 13, 20]"
"['成分', '', '液']","[3, 7, 9]","['獲得', '組成', '高', '回收']","[1, 4, 6, 8]"
"[' 分', '大幅度']","[1, 5]","['連成', '為', '波動']","[0, 3, 6]"
"['這', '廢溶劑', '蒸餾法', '原化學 品', '原因']","[0, 2, 6, 10, 12]","['回收', '主要']","[7, 11]"
"['沸點', '時', '餾 出物', '', '例']","[2, 6, 11, 15, 18]","['獲得', '維持', '組成']","[8, 13, 16]"
['純度溶劑'],[4],"['回收', '高', '困難']","[1, 2, 6]"
"['主成分中', '％', '極易經']","[5, 7, 9]","['欲', '回收', '蒸餾']","[0, 1, 11]"
['20％'],[7],"['回收', '殘存']","[3, 4]"
"['率低', '高']","[3, 6]","['回收', '則']","[1, 4]"
"['處理成本', '蒸餾回收率']","[2, 13]","['偏', '高', '欲', '提高']","[4, 5, 9, 10]"
"['廢溶劑', '污', '排水混', '溶劑', '5', '混合', '：', '大', '可', '全', '', '自動化', '系統']","[0, 7, 13, 17, 21, 23, 31, 34, 36, 38, 40, 43, 45]","['冷', '塔底污', '蒸餾', '流程', '回收', '工廠', '回收']","[2, 9, 25, 27, 30, 41, 44]"
"['其', '原理', '溶劑廢氣部分之相 關處理方法', '圖', '-', '', '）', '若']","[0, 2, 12, 17, 19, 21, 25, 27]","['回收', '類', '似']","[1, 13, 14]"
